user_id,full_name,job_title,company_name,email_address,phone_number,address,city,country,birth_date,registration_date,last_login_date,account_status,annual_revenue
1,Sarah Riggs,Financial Analyst,Garcia Inc.,amy50@example.com,531-371-3900x532,"335 Kristina Ranch
West Micheleberg, DC 71308", Paris ,germany,1967-11-28,2024-07-17,03/25/2025,inactive,464027.88
2,Katie Wilson,Data Scientist,Thompson LLC,andersonmichael@example.org,001-350-324-0268,"917 Sonia Cape Suite 700
Boonechester, TX 14651", Toronto,NETHERLANDS,1979-08-25,2025-05-14,2025-05-23,Active ,297513.53
3,Laura Gray,COO,Browning Systems,lammarc@example.org,624-999-8569,"18367 Robert Views Suite 661
Ronaldview, MN 20507",Singapore, Spain,1989-04-12,2024-02-12,"Dec 09, 2025",active,515752.34
4,Joseph Lawson,IT Specialist,Wells Inc.,deckerchristopher@example.org,001-252-680-9885x1656,"98327 Melanie Keys Suite 149
Port Roy, OH 81991", Oslo , Italy ,1985-09-09,2023-11-23,"Nov 07, 2025", Active,951810.18
5,Jeffrey Fowler,Research Scientist,Day Holdings,lynchdiane@example.net,302-444-5502x296,"83667 Moore Inlet
Kimberlyshire, PA 11636", Berlin,DENMARK,1998-11-29,29-07-2023,2023-11-01, Inactive ,278199.19
6,Michelle Perez,Software Engineer,Moore Inc.,craigjoseph@example.net,(979)676-4381x56149,"003 Dougherty Trafficway Apt. 445
North Tylerchester, HI 17433",dublin,canada,1974-04-03,07/29/2025,2025-12-14,Active ,278202.38
7,Troy Hughes,Sales Manager,Padilla Consulting, CHARLES06@EXAMPLE.ORG ,715.496.9664x160,"516 John Radial Suite 816
Juliebury, MA 22538", Toronto ,united kingdom,1959-05-15,2025-01-10,2025-11-02, Inactive ,989988.86
8,Justin Harrison,Research Scientist,Schultz LLC,rebeccabailey@example.net,+1-923-912-4329x2127,"527 Taylor Roads Suite 490
Williamport, NH 59734", Rome , United Arab Emirates,1957-06-20,2024-04-21,2024-08-03,active,560847.5
9,Michelle Miller,Accountant,Wood Holdings,chase19@example.net,267.998.0793x59782,"182 John Mill Suite 889
West Nathan, LA 51280",toronto,brazil,1975-08-28,2024-12-28,2025-04-15,Active ,235948.29
10,Sheila Miller,Research Scientist,Morgan PLC,mccormickdeborah@example.org,818-464-4925x19254,"8652 Debbie Manors
Andrewport, HI 28575",Rome,SOUTH AFRICA,1972-05-15,2023-12-01,2025-03-19,ACTIVE,479161.04
11,John Burgess,Operations Manager,Miranda Inc.,jeremytaylor@example.org,418-488-0592x9622,"5379 Goodwin Tunnel
Youngbury, ME 61975", Dublin ,Italy,1999-12-03,2024-04-14,2024-05-17,ACTIVE,236950.76
12,Heather Taylor,CEO,Lee Consulting,smurray@example.com,386.623.9240x75818,"7826 Stacey Forges
Wilkersontown, MT 07481",Dublin,UNITED ARAB EMIRATES,1975-01-19,2024-10-06,2025-01-23,ACTIVE,236567.57
13,Sherri Lopez,Marketing Specialist,Brooks Systems,xvang@example.org,4519522047,"04328 Rodriguez Heights
West David, IA 55528",Dublin, Denmark ,07 Dec 1986,2024-06-22,2025-09-04,ACTIVE,388237.91
14,Jason Avila,Data Analyst,Dean Technologies,rodriguezrebecca@example.net,+1-708-593-2460,"185 Stephanie Plains
South Morganton, SC 51210",berlin, France ,2003-09-12,2023-07-06,2025-08-18,Active,85879.79
15,Gene Higgins,Research Scientist,King Solutions,kellycarlos@example.org,001-419-352-0585x2772,"43030 Mahoney Passage Suite 874
Port Deborahport, MI 06766", São Paulo,United Arab Emirates,1998-01-19,05/11/2023,2024-06-09,Active,97983.81
16,Frederick Hicks,COO,Rivera Inc.,lloydsamuel@example.com,001-876-452-7758x4161,"15447 Jackson Mills Suite 705
Hillton, CA 88474",Rome, Norway,1986-11-12,2023-08-23,"Jul 22, 2025", Active,"$221,106.27"
17,Amy Adams,CTO,Cox Technologies, STEPHANIETHOMAS@EXAMPLE.NET ,+1-770-721-3556x90927,"285 Edwards Harbors
North Anthony, HI 65911",sydney, Egypt ,1980-12-29,2023-01-07,30 Jun 2024, Suspended,161299.51
18,Cheyenne Shepherd,Sales Manager,Mcintyre Group,greenjorge@example.com,494.973.1217,"Unit 5518 Box 8442
DPO AP 93504",Paris , Denmark,2001-01-24,2025-11-05,12/14/2025,Inactive ,408388.06
19,Daniel Newton,CEO,Little Systems,william13@example.org,470.358.9578,"786 Morrow Cliffs Apt. 517
Frazierstad, DC 72761",NEW YORK,germany,1986-12-23,2023-01-02,2024-10-27,suspended,173578.14
20,Amy Parker,Financial Analyst,White Group,ryanbartlett@example.org,682-342-2535,"49818 Brittany Prairie Apt. 299
Meganshire, AZ 04219",mumbai,CANADA,1959-08-09,2024-05-05,04 Jul 2024,Active ,121952.56
21,Emily Oliver,Project Manager,Fry LLC,debra96@example.net,+1-407-984-4736x4710,"59255 Hester Curve Suite 881
Johnville, KY 59430", Riyadh ,SOUTH AFRICA,1967-10-10,26/12/2025,2025-12-28, Active,914336.68
22,Lisa Mccarty,COO,Davis Consulting,sonia96@example.org,(959)653-2787,"8733 Williams Haven
Harperfort, LA 70846",AMSTERDAM,SWEDEN,1956-01-10,2025-05-16,10 Jul 2025, Active ,279835.33
23,James Fox,Consultant,Rodriguez Holdings,nicoleluna@example.com,(906)609-8358x416,"16558 Fischer Flat
Porterton, AZ 18462", Berlin , Spain ,1990-08-04,2025-06-16,2025-10-27,active,343612.46
24,Kristen Lewis,Financial Analyst,Brock Consulting,ghernandez@example.org,695-926-9495x88879,"1694 Candice Greens Apt. 097
New Cristina, RI 50333", New York , Canada,11/12/1962,2024-04-16,2025-12-10,inactive,"120,894.83"
25,Lindsay Rivera,Business Analyst,Becker LLC,armstrongjackie@example.org,9752626368,"578 Edwards Extensions
Barrmouth, ND 46938", Cairo ,SPAIN,09/28/1988,03/06/2023,2025-01-11, Active,
26,Emily Walker,Marketing Specialist,Dillon Systems,chelsea33@example.com,+1-743-644-3757,"5240 Moses Common Suite 747
East Maria, KY 74165", Mumbai, Saudi Arabia,1989-09-27,2023-09-28,2025-10-08,Active,"$354,210.20"
27,Alexandra Lindsey,Software Engineer,Taylor Solutions,johnsantiago@example.net,230.416.5712,"3454 Rebecca Corners Apt. 802
Khanburgh, PW 05264",SINGAPORE, Denmark ,2004-06-27,01/25/2024,05/01/2024,active,146430.25
28,Christine Drake,Research Scientist,Sanders Inc., VLOPEZ@EXAMPLE.COM ,9044991547,"3152 Wong Stravenue Apt. 054
East Cheryl, SC 53649",Oslo ,GERMANY,1996-02-24,07/21/2023,2023-09-22,Active,426338.37
29,Allison Tran,Marketing Manager,Robertson Technologies,moralescody@example.org,253.604.6374x5499,"17426 Vaughn Route
Michaelbury, IN 18008",ROME,United Arab Emirates ,1979-01-21,2023-10-15,"Dec 21, 2024", Active,215249.46
30,Robert Adkins,COO,Gibson Technologies, ROBERT87@EXAMPLE.NET ,+1-533-491-8785x19108,"39718 Stokes Motorway Apt. 867
New Stevenport, VA 03354",NEW YORK,CANADA,1975-01-10,2023-07-20,2023-09-10,SUSPENDED,"$267,216.47"
31,April Martinez,CEO,Velasquez Ltd.,bethwilliams@example.com,001-718-801-7046x226,"1825 Gregory Plain Suite 823
Port Andrewport, NH 88777",Amsterdam ,Ireland ,1990-11-11,2025-04-12,2025-12-17,Suspended ,215088.61
32,Reginald French,Consultant,Coleman Inc.,pmorrow@example.com,(324)231-0690x331,"06738 Karen Trail
East Williamport, IN 96382",STOCKHOLM,Singapore,1983-11-09,2025-03-10,24/07/2025, Inactive ,1198516.06
33,Michael Phillips,Sales Manager,Ray Systems,joel28@example.org,(744)808-9268x70568,"2873 Kevin Station Apt. 708
Faulknerside, NC 18076",Stockholm,netherlands,1974-08-28,2025-09-23,13 Oct 2025, Suspended,324665.9
34,Ronald Allen,Operations Manager,,deborah75@example.org,+1-530-546-9901,"0331 Rocha Square Apt. 638
Kimberlyfurt, NH 70447",London,united kingdom,31-05-1987,2023-05-05,2025-06-09, Active ,156310.92
35,Jason Walker,CTO,,william77@example.org,001-875-635-5609x3204,"69378 Scott View Suite 772
Garyside, NM 24624", Toronto,Australia ,2000-07-21,2023-11-19,2024-01-17,Active,582906.13
36,Nicholas Villarreal,Marketing Specialist,Weaver PLC,warrenmary@example.org,+1-900-962-3120x38750,"08484 Wayne Square Suite 211
East James, NC 33585",madrid,INDIA,1995-07-28,2025-04-06,2025-06-07,active,139442.76
37,Christine Oconnell,Accountant,Adams Solutions,zmiller@example.com,001-833-941-0166,"217 Newman Isle
New Samanthabury, IL 91240",Amsterdam,Norway,1999-02-12,2025-12-06,2025-12-17,Active,379346.2
38,Melinda Yu,Business Analyst,Alvarez Group,glassgabrielle@example.com,+1-890-325-0392,"685 Campos Dam
New Juliestad, AR 13304",New York ,united arab emirates,1977-01-16,2025-07-25,2025-10-14, Active,83135.82
39,Rodney Burton,Accountant,Roberson LLC,cassie99@example.com,001-350-647-7358x66296,"42626 Ward Course
West Seanview, CT 17868", Paris,DENMARK,1959-11-26,2024-03-12,13 Aug 2025,Inactive,129349.04
40,Phyllis Gill,Consultant,Jordan Holdings,fgarcia@example.com,+1-819-395-6046,"826 Dominic Hollow
Trevorland, GA 57474",cape town,Sweden ,1969-02-23,2024-08-06,2025-01-15, Active ,376172.41
41,Jeffrey Bowen,Software Engineer,Evans Systems,wardsheryl@example.net,+1-879-793-7124x0659,"924 Morrison Square Apt. 752
Novakport, WA 91590",paris,ITALY,1986-08-21,17-01-2023,22 Sep 2024,active,549589.33
42,Deborah King,HR Manager,Faulkner Systems,markramirez@example.com,(619)339-8280x737,"724 Johnny Drives Suite 617
Aguilarside, NY 91164",São Paulo , Netherlands ,02/14/1976,2023-11-15,2024-08-20,Inactive,369519.13
43,Joseph Johnson,Accountant,Johnson Group,jacqueline89@example.net,713-852-9096,"3888 Sean Lock
Bartonshire, UT 66098",London,CANADA,1963-01-05,01/11/2025,2025-12-03,active,302261.01
44,Troy Tran,Project Manager,Cuevas Inc., AGARCIA@EXAMPLE.ORG ,725-945-7387,"1401 Melinda Rue Apt. 238
New Ethan, OH 56386", Rome,AUSTRALIA,2002-08-04,2023-01-08,"Nov 22, 2024",Inactive ,265462.11
45,Cynthia Wallace,Business Analyst,Hall Solutions,lsoto@example.net,+1-366-309-3796x60334,"5371 Lambert Overpass
Candicefurt, OR 15473", Paris, South Africa ,1972-09-03,20/01/2023,2023-09-07,Active ,116428.73
46,Shane Romero,Project Manager,Bruce Systems,lisamccarthy@example.com,+1-891-825-1341x252,"2782 Tracy Dam Apt. 579
Port Michaeltown, NM 18396",London,sweden,09-03-1965,2023-10-31,2025-01-14, Active,$198017
47,Heather Garner,Financial Analyst,Cruz Inc.,fortiz@example.com,001-677-421-9034x043,"819 Joseph Plains Suite 807
South Curtis, MP 86179",Berlin,Denmark ,1992-06-10,2025-01-02,2025-04-20, Inactive,237412.13
48,Thomas Taylor,Marketing Manager,Evans Solutions,,513.239.5962x923,"825 Roberts Grove Apt. 260
Michelleberg, UT 17893",sydney, Singapore ,1967-11-10,2023-11-13,"Jul 13, 2024",ACTIVE,686928.55
49,Mark Blankenship,Financial Analyst,Dawson Holdings,kathleenlowe@example.com,(694)766-7116,"9017 Horn Underpass Suite 363
Adamsport, MA 72238",Rome,AUSTRALIA,11 Dec 1983,2025-04-23,15 Nov 2025,inactive,416871.29
50,Chelsea Weber,Sales Manager,Knight Inc.,rkramer@example.org,8175012770,"Unit 2424 Box 1541
DPO AA 87599", Dubai, Denmark,1999-11-30,2025-08-21,2025-10-17, Active,95403.63
51,Zachary Mccarty,Sales Manager,Martin PLC,ugarrett@example.net,001-236-211-0371x29387,"2713 Davis Valley
North Lawrenceport, DC 50665",dublin, Norway ,1993-07-11,2024-04-01,2024-04-26, Active ,411209.78
52,Andrea Johnson,CTO,Mullins Group, DARLENEBYRD@EXAMPLE.ORG ,390.492.7532x69731,"6523 Newman Gateway Suite 043
Lake Peter, SD 07653",Dublin, South Africa,1994-01-12,2024-12-20,2025-11-14,Active ,250306.74
53,Debra Reed,Accountant,Leon Group,troyrodriguez@example.com,+1-491-980-5526x9658,"USS Smith
FPO AE 02308", London , Germany ,1968-06-21,2024-01-01,08/18/2025,active,204056.99
